:852&1606293115-1.9.0-281&17:296&32:194&33:213&18:105
&852&1606323354&17:10000,14.9&32:-1.0,-1.0,-1,-1.00&33:153.7,13.1,972,15.81&18:10000,11.0&0:27.7
&852&1606323654&17:10000,14.8&32:-1.0,-1.0,-1,-1.00&33:0.0,0.0,0,0.00&18:10000,11.0&0:27.5
&852&1606323954&17:10000,14.8&32:-1.0,-1.0,-1,-1.00&33:153.6,13.1,972,15.80&18:10000,11.0&0:27.3
&852&1606324254&17:10000,14.8&32:-1.0,-1.0,-1,-1.00&33:-1.0,-1.0,-1,-1.00&18:10000,11.1&0:27.1
&852&1606324554&17:10000,14.8&32:-1.0,-1.0,-1,-1.00&33:0.0,0.0,0,0.00&18:10000,11.1&0:27.0
&852&1606324854&17:10000,14.9&32:-1.0,-1.0,-1,-1.00&33:153.8,13.2,973,15.81&18:10000,11.1&0:26.9
&852&1606325154&17:10000,14.9&32:-1.0,-1.0,-1,-1.00&33:0.0,0.0,0,0.00&18:10000,11.1&0:26.8
&852&1606325454&17:10000,14.9&32:-1.0,-1.0,-1,-1.00&33:153.6,13.3,973,15.79&18:10000,11.2&0:26.7
&852&1606325754&17:10000,14.9&32:-1.0,-1.0,-1,-1.00&33:0.0,0.0,0,0.00&18:10000,11.2&0:26.5
&852&1606326054&17:10000,14.8&32:-1.0,-1.0,-1,-1.00&33:153.8,13.3,973,15.81&18:10000,11.2&0:26.4
&852&1606326354&17:10000,14.8&32:-1.0,-1.0,-1,-1.00&33:153.7,13.3,973,15.80&18:10000,11.2&0:26.3
&852&1606326654&17:10000,14.7&32:-1.0,-1.0,-1,-1.00&33:153.8,13.3,973,15.80&18:10000,11.2&0:26.2
&852&1606326954&17:10000,14.7&32:-1.0,-1.0,-1,-1.00&33:153.9,13.3,973,15.81&18:10000,11.2&0:26.1
&852&1606327254&17:10000,14.6&32:-1.0,-1.0,-1,-1.00&33:153.6,13.3,973,15.78&18:10000,11.3&0:26.0
&852&1606327554&17:10000,14.6&32:-1.0,-1.0,-1,-1.00&33:153.7,13.3,973,15.80&18:10000,11.2&0:25.9
&852&1606327854&17:10000,14.6&32:-1.0,-1.0,-1,-1.00&33:154.0,13.3,973,15.83&18:10000,11.3&0:25.9
&852&1606328154&17:10000,14.6&32:-1.0,-1.0,-1,-1.00&33:-1.0,-1.0,-1,-1.00&18:10000,11.3&0:25.7
&852&1606328454&17:10000,14.5&32:-1.0,-1.0,-1,-1.00&33:153.7,13.4,974,15.78&18:10000,11.3&0:25.7
&852&1606328754&17:10000,14.5&32:-1.0,-1.0,-1,-1.00&33:0.0,0.0,0,0.00&18:10000,11.4&0:25.6
&852&1606329054&17:10000,14.5&32:-1.0,-1.0,-1,-1.00&33:153.7,13.5,974,15.78&18:10000,11.4&0:25.6
&852&1606329354&17:10000,14.5&32:-1.0,-1.0,-1,-1.00&33:-1.0,-1.0,-1,-1.00&18:10000,11.5&0:25.6
&852&1606329654&17:10000,14.5&32:-1.0,-1.0,-1,-1.00&33:-1.0,-1.0,-1,-1.00&18:10000,11.4&0:25.6
&852&1606329954&17:10000,14.5&32:-1.0,-1.0,-1,-1.00&33:153.9,13.7,975,15.78&18:10000,11.5&0:25.6
&852&1606330254&17:10000,14.5&32:-1.0,-1.0,-1,-1.00&33:0.0,0.0,0,0.00&18:10000,11.5&0:25.5
&852&1606330554&17:10000,14.5&32:-1.0,-1.0,-1,-1.00&33:0.0,0.0,0,0.00&18:10000,11.5&0:25.4
&852&1606330854&17:10000,14.5&32:-1.0,-1.0,-1,-1.00&33:153.7,13.7,975,15.77&18:10000,11.6&0:25.2
&852&1606331154&17:10000,14.4&32:-1.0,-1.0,-1,-1.00&33:0.0,0.0,0,0.00&18:10000,11.5&0:25.1
&852&1606331454&17:10000,14.4&32:-1.0,-1.0,-1,-1.00&33:154.1,13.6,975,15.80&18:10000,11.5&0:25.1
&852&1606331754&17:10000,14.4&32:-1.0,-1.0,-1,-1.00&33:153.9,13.6,975,15.79&18:10000,11.5&0:25.0
&852&1606332054&17:10000,14.4&32:-1.0,-1.0,-1,-1.00&33:0.0,0.0,0,0.00&18:10000,11.4&0:25.0
&852&1606332354&17:10000,14.4&32:-1.0,-1.0,-1,-1.00&33:-1.0,-1.0,-1,-1.00&18:10000,11.5&0:24.9
&852&1606332654&17:10000,14.4&32:-1.0,-1.0,-1,-1.00&33:154.1,13.6,975,15.80&18:10000,11.5&0:24.9
&852&1606332954&17:10000,14.4&32:-1.0,-1.0,-1,-1.00&33:153.7,13.6,975,15.77&18:10000,11.5&0:24.8
&852&1606333254&17:10000,14.4&32:-1.0,-1.0,-1,-1.00&33:153.8,13.8,975,15.78&18:10000,11.6&0:24.6
&852&1606333554&17:10000,14.4&32:-1.0,-1.0,-1,-1.00&33:-1.0,-1.0,-1,-1.00&18:10000,11.6&0:24.5
