Time, Valve, Pump Dir, Pump Time, Measure Time, Purge Time, Notes
2020/8/1 13:08:39, 12, Reverse, 20, 5, 15, Automatic
2020/8/1 13:08:55, 10, Forward, 10, 120, 5, Automatic
2020/8/1 13:11:05, 10, Reverse, 10, 120, 5, Automatic
2020/8/1 13:17:59, 1, Forward, 30, 120, 15, Automatic
2020/8/1 13:20:29, 8, Reverse, 30, 120, 15, Automatic
2020/8/1 13:20:44, 10, Forward, 1, 1, 1, Automatic
2020/8/1 13:20:47, 10, Reverse, 1, 1, 1, Automatic
2020/8/1 13:27:44, 2, Forward, 35, 120, 15, Automatic
2020/8/1 13:30:19, 8, Reverse, 35, 120, 15, Automatic
2020/8/1 13:30:35, 10, Forward, 1, 1, 1, Automatic
2020/8/1 13:30:37, 10, Reverse, 1, 1, 1, Automatic
2020/8/1 13:37:29, 3, Forward, 40, 120, 15, Automatic
2020/8/1 13:40:09, 8, Reverse, 40, 120, 15, Automatic
2020/8/1 13:40:24, 12, Forward, 12, 5, 15, Automatic
2020/8/1 13:40:41, 12, Reverse, 12, 5, 15, Automatic
2020/8/1 13:47:14, 4, Forward, 42, 120, 15, Automatic
2020/8/1 13:49:56, 8, Reverse, 42, 120, 15, Automatic
2020/8/1 13:50:12, 10, Forward, 1, 1, 1, Automatic
2020/8/1 13:50:14, 10, Reverse, 1, 1, 1, Automatic
2020/8/1 13:56:59, 5, Forward, 45, 120, 15, Automatic
2020/8/1 13:59:44, 8, Reverse, 45, 120, 15, Automatic
2020/8/1 14:00:00, 12, Forward, 12, 1, 15, Automatic
2020/8/1 14:00:12, 12, Reverse, 12, 1, 15, Automatic
2020/8/1 14:06:44, 6, Forward, 50, 120, 15, Automatic
2020/8/1 14:09:34, 8, Reverse, 50, 120, 15, Automatic
2020/8/1 14:09:50, 12, Forward, 12, 5, 15, Automatic
2020/8/1 14:10:07, 12, Reverse, 12, 5, 15, Automatic
2020/8/1 14:16:29, 7, Forward, 52, 120, 15, Automatic
2020/8/1 14:19:21, 8, Reverse, 52, 120, 15, Automatic
2020/8/1 14:19:37, 9, Forward, 7, 20, 15, Automatic
2020/8/1 14:20:04, 9, Reverse, 7, 20, 15, Automatic
2020/8/1 14:26:14, 12, Forward, 20, 5, 15, Automatic
2020/8/1 14:26:39, 12, Reverse, 20, 5, 15, Automatic
2020/8/1 14:26:55, 10, Forward, 10, 120, 5, Automatic
2020/8/1 14:29:05, 10, Reverse, 10, 120, 5, Automatic
2020/8/1 14:35:59, 1, Forward, 30, 120, 15, Automatic
2020/8/1 14:38:29, 8, Reverse, 30, 120, 15, Automatic
2020/8/1 14:38:45, 10, Forward, 1, 1, 1, Automatic
2020/8/1 14:38:47, 10, Reverse, 1, 1, 1, Automatic
2020/8/1 14:45:44, 2, Forward, 35, 120, 15, Automatic
2020/8/1 14:48:19, 8, Reverse, 35, 120, 15, Automatic
2020/8/1 14:48:35, 10, Forward, 1, 1, 1, Automatic
2020/8/1 14:48:37, 10, Reverse, 1, 1, 1, Automatic
2020/8/1 14:55:29, 3, Forward, 40, 120, 15, Automatic
2020/8/1 14:58:09, 8, Reverse, 40, 120, 15, Automatic
2020/8/1 14:58:25, 12, Forward, 12, 5, 15, Automatic
2020/8/1 14:58:41, 12, Reverse, 12, 5, 15, Automatic
2020/8/1 15:05:14, 4, Forward, 42, 120, 15, Automatic
2020/8/1 15:07:56, 8, Reverse, 42, 120, 15, Automatic
2020/8/1 15:08:12, 10, Forward, 1, 1, 1, Automatic
2020/8/1 15:08:14, 10, Reverse, 1, 1, 1, Automatic
2020/8/1 15:14:59, 5, Forward, 45, 120, 15, Automatic
2020/8/1 15:17:44, 8, Reverse, 45, 120, 15, Automatic
2020/8/1 15:18:00, 12, Forward, 12, 1, 15, Automatic
2020/8/1 15:18:13, 12, Reverse, 12, 1, 15, Automatic
2020/8/1 15:24:44, 6, Forward, 50, 120, 15, Automatic
2020/8/1 15:27:34, 8, Reverse, 50, 120, 15, Automatic
2020/8/1 15:27:50, 12, Forward, 12, 5, 15, Automatic
2020/8/1 15:28:07, 12, Reverse, 12, 5, 15, Automatic
