:610&1617625353-1.9.0-281&17:296&32:194&33:213&18:105
&610&1617666694&17:0,0.0&32:124.7,14.9,973,12.82&33:191.1,16.1,982,19.46&18:65535,655.3&0:25.8
&610&1617666994&17:0,0.0&32:124.6,14.9,973,12.81&33:191.2,16.1,982,19.47&18:65535,655.3&0:25.7
&610&1617667294&17:65535,655.3&32:124.7,14.9,973,12.81&33:191.4,16.1,982,19.49&18:65535,655.3&0:25.6
&610&1617667594&17:0,0.0&32:125.0,14.9,973,12.84&33:191.4,16.1,982,19.49&18:65535,655.3&0:25.5
&610&1617667894&17:0,0.0&32:124.6,14.9,973,12.81&33:191.7,16.1,982,19.52&18:65535,655.3&0:25.6
&610&1617668194&17:0,0.0&32:124.7,14.9,973,12.82&33:191.2,16.1,982,19.47&18:65535,655.3&0:25.7
&610&1617668494&17:0,0.0&32:124.8,14.9,973,12.83&33:191.2,16.1,982,19.47&18:65535,655.3&0:25.7
&610&1617668794&17:0,0.0&32:124.6,14.9,973,12.80&33:191.3,16.1,982,19.48&18:65535,655.3&0:25.9
&610&1617669094&17:65535,655.3&32:124.9,14.9,973,12.83&33:191.1,16.0,982,19.46&18:65535,655.3&0:25.9
&610&1617669394&17:0,0.0&32:124.6,14.9,973,12.80&33:191.4,16.1,982,19.49&18:65535,655.3&0:25.9
&610&1617669694&17:0,0.0&32:124.6,14.9,973,12.80&33:191.2,16.1,982,19.47&18:65535,655.3&0:25.9
&610&1617669994&17:0,0.0&32:124.5,14.9,973,12.80&33:191.2,16.1,982,19.47&18:65535,655.3&0:26.0
&610&1617670294&17:0,0.0&32:124.7,14.9,973,12.82&33:191.2,16.1,982,19.47&18:65535,655.3&0:26.1
&610&1617670594&17:0,0.0&32:124.5,14.9,973,12.79&33:191.1,16.1,982,19.46&18:65535,655.3&0:26.2
&610&1617670894&17:0,0.0&32:124.8,14.9,973,12.83&33:191.2,16.1,982,19.47&18:65535,655.3&0:26.2
&610&1617671194&17:0,0.0&32:124.6,14.9,973,12.80&33:191.5,16.1,982,19.50&18:65535,655.3&0:26.2
&610&1617671494&17:0,0.0&32:124.6,14.9,973,12.81&33:191.5,16.0,982,19.50&18:65535,655.3&0:26.2
&610&1617671794&17:0,0.0&32:124.8,14.9,973,12.82&33:191.3,16.0,982,19.48&18:65535,655.3&0:26.3
&610&1617672094&17:0,0.0&32:124.7,14.9,973,12.82&33:191.3,16.1,982,19.48&18:65535,655.3&0:26.3
&610&1617672394&17:0,0.0&32:124.7,14.9,973,12.82&33:191.5,16.1,982,19.50&18:65535,655.3&0:26.4
&610&1617672694&17:0,0.0&32:124.6,14.9,973,12.81&33:190.9,16.1,982,19.44&18:65535,655.3&0:26.4
&610&1617672994&17:0,0.0&32:124.9,14.9,973,12.84&33:191.4,16.1,982,19.49&18:65535,655.3&0:26.4
&610&1617673294&17:0,0.0&32:124.7,14.9,973,12.82&33:191.5,16.0,982,19.50&18:65535,655.3&0:26.3
&610&1617673594&17:0,0.0&32:124.9,14.9,973,12.83&33:191.4,16.1,982,19.49&18:65535,655.3&0:26.4
&610&1617673894&17:0,0.0&32:124.5,14.9,973,12.80&33:191.2,16.1,982,19.47&18:65535,655.3&0:26.4
&610&1617674194&17:0,0.0&32:124.5,14.9,973,12.79&33:190.9,16.1,982,19.44&18:0,0.0&0:26.4
&610&1617674494&17:0,0.0&32:124.7,14.8,973,12.82&33:191.4,16.1,982,19.49&18:65535,655.3&0:26.4
&610&1617674794&17:0,0.0&32:124.6,14.8,973,12.81&33:191.3,16.1,982,19.49&18:65535,655.3&0:26.5
&610&1617675094&17:65535,655.3&32:124.5,14.9,973,12.79&33:191.3,16.0,982,19.48&18:65535,655.3&0:26.4
&610&1617675394&17:0,0.0&32:124.7,14.8,973,12.81&33:190.7,16.0,982,19.42&18:65535,655.3&0:26.4
&610&1617675694&17:0,0.0&32:124.3,14.8,972,12.79&33:191.0,16.0,982,19.45&18:65535,655.3&0:26.5
&610&1617675994&17:0,0.0&32:124.8,14.9,973,12.82&33:191.5,16.0,982,19.50&18:0,0.0&0:26.6
&610&1617676294&17:0,0.0&32:124.5,14.9,972,12.81&33:191.2,16.0,982,19.48&18:65535,655.3&0:26.6
&610&1617676594&17:0,0.0&32:124.6,14.8,972,12.82&33:191.2,16.0,982,19.47&18:65535,655.3&0:26.6
&610&1617676894&17:0,0.0&32:124.5,14.8,972,12.81&33:191.3,16.0,982,19.48&18:65535,655.3&0:26.7
&610&1617677194&17:0,0.0&32:124.6,14.9,972,12.82&33:191.5,16.0,982,19.50&18:65535,655.3&0:26.7
&610&1617677494&17:0,0.0&32:124.4,14.8,972,12.80&33:191.7,16.0,982,19.52&18:65535,655.3&0:26.7
&610&1617677794&17:0,0.0&32:124.5,14.8,972,12.80&33:191.2,16.0,982,19.47&18:65535,655.3&0:26.8
&610&1617678094&17:0,0.0&32:124.5,14.9,972,12.81&33:191.0,16.0,982,19.45&18:65535,655.3&0:26.9
&610&1617678394&17:0,0.0&32:124.5,14.8,972,12.81&33:191.2,16.0,982,19.48&18:65535,655.3&0:27.0
&610&1617678694&17:0,0.0&32:124.4,14.8,972,12.80&33:191.4,16.0,982,19.50&18:65535,655.3&0:27.0
&610&1617678994&17:128,0.0&32:124.9,14.8,972,12.84&33:191.5,16.0,982,19.50&18:65535,655.3&0:27.0
&610&1617679294&17:0,0.0&32:124.4,14.8,972,12.80&33:191.5,16.0,982,19.50&18:65535,655.3&0:27.0
&610&1617679594&17:0,0.0&32:124.5,14.8,972,12.81&33:191.4,16.0,982,19.49&18:65535,655.3&0:27.1
&610&1617679894&17:0,0.0&32:124.5,14.8,972,12.80&33:191.1,16.0,982,19.46&18:65535,655.3&0:27.3
&610&1617680194&17:0,0.0&32:124.5,14.8,972,12.80&33:191.5,16.0,982,19.50&18:65535,655.3&0:27.4
&610&1617680494&17:0,0.0&32:124.5,14.8,972,12.80&33:191.4,16.0,982,19.49&18:65535,655.3&0:27.4
&610&1617680794&17:0,0.0&32:124.6,14.8,972,12.82&33:190.9,16.0,982,19.44&18:65535,655.3&0:27.3
&610&1617681094&17:0,0.0&32:124.3,14.8,972,12.79&33:191.0,16.0,982,19.45&18:65535,655.3&0:27.3
&610&1617681394&17:0,0.0&32:124.4,14.8,972,12.80&33:191.3,16.0,982,19.48&18:65535,655.3&0:27.4
&610&1617681694&17:0,0.0&32:124.5,14.8,972,12.81&33:191.4,16.0,982,19.49&18:65535,655.3&0:27.5
&610&1617681994&17:0,0.0&32:124.3,14.8,972,12.78&33:191.0,16.0,982,19.44&18:65535,655.3&0:27.5
&610&1617682294&17:0,0.0&32:124.7,14.8,972,12.83&33:191.1,16.0,982,19.46&18:0,0.0&0:27.5
&610&1617682594&17:0,0.0&32:124.3,14.7,972,12.79&33:191.4,16.0,982,19.49&18:65535,655.3&0:27.5
&610&1617682894&17:0,0.0&32:124.6,14.8,972,12.81&33:191.3,16.0,982,19.48&18:65535,655.3&0:27.5
&610&1617683194&17:0,0.0&32:124.6,14.8,972,12.82&33:191.2,16.0,982,19.47&18:65535,655.3&0:27.4
&610&1617683494&17:0,0.0&32:124.5,14.7,972,12.81&33:191.3,16.0,982,19.48&18:65535,655.3&0:27.4
&610&1617683794&17:0,0.0&32:124.5,14.8,972,12.81&33:191.2,16.0,982,19.47&18:65535,655.3&0:27.4
&610&1617684094&17:0,0.0&32:124.5,14.8,972,12.81&33:191.2,16.0,982,19.47&18:65535,655.3&0:27.4
&610&1617684394&17:128,0.0&32:124.6,14.8,972,12.82&33:190.7,16.0,982,19.42&18:65535,655.3&0:27.5
&610&1617684694&17:0,0.0&32:124.3,14.8,972,12.78&33:191.2,16.0,981,19.49&18:65535,655.3&0:27.4
&610&1617684994&17:0,0.0&32:124.6,14.8,972,12.82&33:191.0,16.0,981,19.47&18:65535,655.3&0:27.4
&610&1617685294&17:0,0.0&32:124.6,14.8,972,12.81&33:191.0,16.0,981,19.47&18:65535,655.3&0:27.5
&610&1617685594&17:0,0.0&32:124.3,14.8,972,12.79&33:191.2,16.0,981,19.49&18:0,0.0&0:27.8
&610&1617685894&17:0,0.0&32:124.5,14.8,972,12.81&33:191.1,16.0,981,19.48&18:65535,655.3&0:27.9
&610&1617686194&17:0,0.0&32:124.3,14.8,972,12.78&33:191.1,16.0,981,19.48&18:0,0.0&0:28.0
&610&1617686494&17:0,0.0&32:124.1,14.8,972,12.77&33:191.1,16.0,981,19.48&18:65535,655.3&0:28.2
&610&1617686794&17:0,0.0&32:124.1,14.9,972,12.77&33:191.1,16.0,981,19.48&18:65535,655.3&0:28.4
&610&1617687094&17:0,0.0&32:124.2,14.9,972,12.77&33:191.1,16.0,981,19.48&18:65535,655.3&0:28.6
&610&1617687394&17:0,0.0&32:124.2,14.9,972,12.77&33:191.4,16.0,981,19.52&18:65535,655.3&0:28.9
&610&1617687694&17:0,0.0&32:124.0,14.9,972,12.75&33:191.1,16.0,981,19.48&18:0,0.0&0:29.1
&610&1617687994&17:0,0.0&32:123.8,14.9,972,12.74&33:191.0,16.0,981,19.47&18:65535,655.3&0:29.3
&610&1617688294&17:0,0.0&32:123.9,14.9,973,12.74&33:190.9,16.0,981,19.46&18:65535,655.3&0:29.5
&610&1617688594&17:0,0.0&32:123.8,14.9,973,12.73&33:191.0,16.0,981,19.47&18:65535,655.3&0:29.6
&610&1617688894&17:0,0.0&32:123.7,14.9,973,12.71&33:191.0,16.0,981,19.47&18:65535,655.3&0:29.6
&610&1617689194&17:0,0.0&32:123.8,14.9,973,12.72&33:191.3,16.0,981,19.50&18:0,0.0&0:29.6
&610&1617689494&17:0,0.0&32:123.6,14.9,972,12.71&33:191.3,16.0,981,19.50&18:65535,655.3&0:29.9
&610&1617689794&17:0,0.0&32:123.3,14.9,973,12.67&33:191.2,16.0,981,19.49&18:65535,655.3&0:30.0
&610&1617690094&17:0,0.0&32:123.6,14.9,973,12.70&33:191.1,16.0,981,19.48&18:65535,655.3&0:30.0
&610&1617690394&17:0,0.0&32:123.4,14.9,972,12.70&33:190.9,16.0,981,19.46&18:0,0.0&0:30.1
&610&1617690694&17:0,0.0&32:123.4,14.9,972,12.70&33:191.1,15.9,981,19.48&18:65535,655.3&0:30.2
&610&1617690994&17:0,0.0&32:123.2,14.9,973,12.66&33:190.9,15.8,980,19.48&18:65535,655.3&0:30.2
&610&1617691294&17:0,0.0&32:123.3,14.9,973,12.67&33:190.7,15.7,980,19.46&18:0,0.0&0:30.3
&610&1617691594&17:0,0.0&32:123.0,15.0,973,12.64&33:190.6,15.6,980,19.45&18:0,0.0&0:30.8
