"TOA5","CR3000","CR3000","10344","CR3000.Std.32.02","CPU:CR3000_6Sensors_21MAY18.CR3","18979","stats"
"TIMESTAMP","RECORD","AirTC_mean","e_hmp_mean","RH_mean","t_dew_hmp_mean","duty_cycle"
"TS","RN","C","kPa","percent","C",""
"","","Smp","Smp","Smp","Smp","Smp"
"2018-06-04 16:08:00",20336,26.4888,1.072783,31.01305,8.016837,1
"2018-06-04 16:09:00",20337,26.43064,1.066779,30.94521,7.934244,1
"2018-06-04 16:10:00",20338,26.35964,1.104621,32.17755,8.447598,1
"2018-06-04 16:11:00",20339,26.44042,1.046335,30.33475,7.650266,1
"2018-06-04 16:12:00",20340,26.50711,1.081029,31.21735,8.129307,1
"2018-06-04 16:13:00",20341,26.64956,1.0953,31.36556,8.32265,1
"2018-06-04 16:14:00",20342,26.62514,1.089453,31.24282,8.243683,1
"2018-06-04 16:15:00",20343,26.55405,1.097666,31.61019,8.354267,1
"2018-06-04 16:16:00",20344,26.61822,1.075589,30.85798,8.055253,1
"2018-06-04 16:17:00",20345,26.53881,1.150977,33.17514,9.055443,1
"2018-06-04 16:18:00",20346,26.49197,1.13734,32.87305,8.879008,1
"2018-06-04 16:19:00",20347,26.54404,1.18807,34.23393,9.526695,1
"2018-06-04 16:20:00",20348,26.61486,1.142915,32.79575,8.951367,1
"2018-06-04 16:21:00",20349,26.84124,1.15328,32.65532,9.08518,1
"2018-06-04 16:22:00",20350,26.50237,1.045007,30.18553,7.63151,1
"2018-06-04 16:23:00",20351,26.44839,1.26209,36.57265,10.42953,1
"2018-06-04 16:24:00",20352,26.23308,1.294873,38.00223,10.81443,1
"2018-06-04 16:25:00",20353,26.28383,1.069142,31.2834,7.966689,1
"2018-06-04 16:26:00",20354,26.40098,1.121912,32.60167,8.677004,1
"2018-06-04 16:27:00",20355,26.44174,1.101382,31.92782,8.404094,1
"2018-06-04 16:28:00",20356,26.41209,1.111602,32.28062,8.540472,1
"2018-06-04 16:29:00",20357,26.31614,1.16067,33.89685,9.179907,1
"2018-06-04 16:30:00",20358,26.38902,1.159814,33.7265,9.168958,1
"2018-06-04 16:31:00",20359,26.6205,1.286194,36.89511,10.71344,1
"2018-06-04 16:32:00",20360,26.5489,1.239864,35.71625,10.16342,1
"2018-06-04 16:33:00",20361,26.45023,1.177987,34.13167,9.399953,1
"2018-06-04 16:34:00",20362,26.37404,1.095493,31.88462,8.325253,1
"2018-06-04 16:35:00",20363,26.3717,1.123746,32.71137,8.70113,1
"2018-06-04 16:36:00",20364,26.44349,1.151786,33.38597,9.066069,1
"2018-06-04 16:37:00",20365,26.49536,1.208804,34.93159,9.784511,1
"2018-06-04 16:38:00",20366,26.58224,1.183822,34.03512,9.47352,1
"2018-06-04 16:39:00",20367,26.7752,1.241572,35.29236,10.18409,1
"2018-06-04 16:40:00",20368,26.78972,1.129207,32.07071,8.772737,1
