:796&1607981296-1.9.0-281&17:296&32:194&33:213&18:105
&796&1608014719&17:10000,1.4&32:-1.0,-1.0,-1,-1.00&33:0.0,0.0,0,0.00&18:10000,1.9&0:3.4
&796&1608015019&17:10000,1.4&32:-1.0,-1.0,-1,-1.00&33:129.8,4.0,900,14.42&18:10000,1.8&0:3.7
&796&1608015319&17:10000,1.5&32:0.0,0.0,0,0.00&33:129.7,4.0,900,14.41&18:10000,1.9&0:3.7
&796&1608015619&17:10000,1.4&32:0.0,0.0,0,0.00&33:130.1,4.0,900,14.46&18:10000,1.9&0:3.8
&796&1608015919&17:10000,1.5&32:2.0,1.0,1,1.00&33:0.0,0.0,0,0.00&18:10000,1.9&0:3.4
&796&1608016219&17:10000,1.5&32:-1.0,-1.0,-1,-1.00&33:0.0,0.0,0,0.00&18:10000,1.9&0:3.4
&796&1608016519&17:10000,1.5&32:0.0,0.0,0,0.00&33:129.9,4.0,901,14.42&18:10000,1.9&0:3.8
&796&1608016819&17:10000,1.5&32:-1.0,-1.0,-1,-1.00&33:129.9,4.0,901,14.42&18:10000,1.9&0:3.7
&796&1608017119&17:10000,1.5&32:0.0,0.0,0,0.00&33:0.0,0.0,0,0.00&18:10000,1.9&0:3.4
&796&1608017419&17:10000,1.5&32:-1.0,-1.0,-1,-1.00&33:0.0,0.0,0,0.00&18:10000,1.9&0:3.4
&796&1608017719&17:10000,1.5&32:0.0,0.0,0,0.00&33:-1.0,-1.0,-1,-1.00&18:10000,1.9&0:3.4
&796&1608018019&17:10000,1.5&32:0.0,0.0,0,0.00&33:129.9,4.0,901,14.42&18:10000,1.9&0:3.8
&796&1608018319&17:10000,1.5&32:0.0,4.0,0,0.00&33:129.7,4.0,900,14.41&18:10000,1.9&0:4.0
&796&1608018619&17:10000,1.4&32:0.0,0.0,0,0.00&33:-1.0,-1.0,-1,-1.00&18:10000,1.9&0:3.8
&796&1608018919&17:10000,1.5&32:2.0,1.0,1,1.00&33:0.0,0.0,0,0.00&18:10000,1.9&0:4.1
&796&1608019219&17:10000,1.5&32:1.0,1.0,1,1.00&33:1.0,129.8,900,14.43&18:10000,1.9&0:5.0
&796&1608019519&17:10000,1.5&32:1.0,1.0,1,1.00&33:1.0,129.9,900,14.44&18:10000,1.9&0:5.7
&796&1608019819&17:10000,1.5&32:1.0,1.0,1,1.00&33:1.0,129.9,900,14.44&18:10000,1.9&0:6.4
&796&1608020119&17:10000,1.6&32:1.0,1.0,1,1.00&33:0.0,0.0,0,0.00&18:10000,1.9&0:6.8
&796&1608020419&17:10000,1.6&32:1.0,1.0,1,1.00&33:1.0,129.9,900,14.44&18:10000,1.9&0:7.7
&796&1608020719&17:10000,1.6&32:1.0,1.0,1,1.00&33:1.0,129.9,900,14.44&18:10000,1.9&0:8.1
&796&1608021019&17:10000,1.6&32:1.0,1.0,1,1.00&33:1.0,129.9,900,14.43&18:10000,1.9&0:8.6
&796&1608021319&17:10000,1.6&32:1.0,1.0,1,1.00&33:-1.0,-1.0,-1,-1.00&18:10000,1.9&0:8.7
&796&1608021619&17:10000,1.6&32:1.0,1.0,1,1.00&33:-1.0,-1.0,-1,-1.00&18:10000,1.9&0:8.9
&796&1608021919&17:10000,1.6&32:1.0,1.0,1,1.00&33:1.0,129.8,900,14.42&18:10000,1.9&0:9.4
&796&1608022219&17:10000,1.6&32:1.0,1.0,1,1.00&33:1.0,129.8,900,14.42&18:10000,1.9&0:9.5
&796&1608022519&17:10000,1.6&32:1.0,1.0,1,1.00&33:1.0,129.9,900,14.43&18:10000,1.9&0:9.5
&796&1608022819&17:10000,1.6&32:1.0,1.0,1,1.00&33:1.0,129.8,900,14.43&18:10000,1.9&0:9.5
&796&1608023119&17:10000,1.6&32:1.0,1.0,1,1.00&33:1.0,129.8,900,14.42&18:10000,1.9&0:9.5
&796&1608023419&17:10000,1.6&32:1.0,1.0,1,1.00&33:1.0,129.8,900,14.43&18:10000,1.9&0:9.6
&796&1608023719&17:10000,1.6&32:1.0,1.0,1,1.00&33:1.0,129.9,900,14.43&18:10000,1.9&0:9.5
